Browser,Creator,Cost (USD),Software license,Current layout engine,Latest release version
Lunascape (discontinued),Lunascape Corporation,Free,Proprietary,"Blink, Gecko, Trident","6.15.2 (February 25, 2018; 2 years ago (2018-02-25)[29]) [±]"
Lynx,"Montulli, Grobe, Rezac, et al.",Free,GPL,"custom, fork of libwww",2.8.9rel.1[30][31] (8 July 2018; 2 years ago (2018-07-08)) [±]
Maxthon,Maxthon International Limited,Free,Proprietary,"Blink, Trident","Windows5.3.8.2000 / October 25, 2019; 10 months ago (2019-10-25)[32]Android5.2.3.3241 / January 25, 2019; 19 months ago (2019-01-25)[33]Mac5.1.60 / August 27, 2018; 2 years ago (2018-08-27)[34]iOS5.4.5 / July 21, 2020; 38 days ago (2020-07-21)[35]Windows Phone2.2.0 / March 30, 2017; 3 years ago (2017-03-30)[36]Linux1.0.5.3 / September 9, 2014; 5 years ago (2014-09-09)[37]",Windows,"5.3.8.2000 / October 25, 2019; 10 months ago (2019-10-25)[32]",Android,"5.2.3.3241 / January 25, 2019; 19 months ago (2019-01-25)[33]",Mac,"5.1.60 / August 27, 2018; 2 years ago (2018-08-27)[34]",iOS,"5.4.5 / July 21, 2020; 38 days ago (2020-07-21)[35]",Windows Phone,"2.2.0 / March 30, 2017; 3 years ago (2017-03-30)[36]",Linux,"1.0.5.3 / September 9, 2014; 5 years ago (2014-09-09)[37]"
Windows,"5.3.8.2000 / October 25, 2019; 10 months ago (2019-10-25)[32]"
Android,"5.2.3.3241 / January 25, 2019; 19 months ago (2019-01-25)[33]"
Mac,"5.1.60 / August 27, 2018; 2 years ago (2018-08-27)[34]"
iOS,"5.4.5 / July 21, 2020; 38 days ago (2020-07-21)[35]"
Windows Phone,"2.2.0 / March 30, 2017; 3 years ago (2017-03-30)[36]"
Linux,"1.0.5.3 / September 9, 2014; 5 years ago (2014-09-09)[37]"
Microsoft Edge,Microsoft,Free,"EdgeHTML-based versions (until 2020): proprietary
Chromium-based versions (2020 onwards): BSD (Chromium executable), some proprietary features [note 2]","EdgeHTML (until 2020)
Blink (since 2020)","Android45.06.2.5042 / July 21, 2020; 38 days ago (2020-07-21)[38]iOS45.7.3 / August 11, 2020; 17 days ago (2020-08-11)[39]macOS84.0.522.44 / July 23, 2020; 36 days ago (2020-07-23)[40]Windows85.0.564.41 / August 27, 2020; 1 day ago (2020-08-27)[41]Xbox One44.18363.8131 / January 7, 2020; 7 months ago (2020-01-07)[42]",Android,"45.06.2.5042 / July 21, 2020; 38 days ago (2020-07-21)[38]",iOS,"45.7.3 / August 11, 2020; 17 days ago (2020-08-11)[39]",macOS,"84.0.522.44 / July 23, 2020; 36 days ago (2020-07-23)[40]",Windows,"85.0.564.41 / August 27, 2020; 1 day ago (2020-08-27)[41]",Xbox One,"44.18363.8131 / January 7, 2020; 7 months ago (2020-01-07)[42]"
Android,"45.06.2.5042 / July 21, 2020; 38 days ago (2020-07-21)[38]"
iOS,"45.7.3 / August 11, 2020; 17 days ago (2020-08-11)[39]"
macOS,"84.0.522.44 / July 23, 2020; 36 days ago (2020-07-23)[40]"
Windows,"85.0.564.41 / August 27, 2020; 1 day ago (2020-08-27)[41]"
Xbox One,"44.18363.8131 / January 7, 2020; 7 months ago (2020-01-07)[42]"
Midori,"Christian Dywan, et al.",Free,LGPL,WebKit,"9.0 (July 29, 2019; 12 months ago (2019-07-29)[43]) [±]"
Mosaic (discontinued),"Marc Andreessen and Eric Bina, NCSA",Free for non-commercial use,Proprietary,custom,3.0 (discontinued in 1997)
Mozilla Application Suite (discontinued),Mozilla Foundation,Free,MPL 1.1/GPL 2.0/LGPL 2.1 tri-license,Gecko,1.7.13 (21 April 2006; 14 years ago (2006-04-21)[44])
